# BT matrix by Thirumalai
# Contact energies are in RT units
#
# @article{betancourt1999pair,
#   title={Pair potentials for protein folding: choice of reference states 
#    and sensitivity of predicted native states to variations in the 
#     interaction schemes},
#  author={Betancourt, Marcos R and Thirumalai, D},
#  journal={Protein Science},
#  volume={8},
#  number={02},
#  pages={361--369},
#  year={1999},
#  publisher={Cambridge Univ Press}
# }
#
#
#cys  phe   leu   trp   val   ile   met   his   tyr   ala   gly   pro    asn   thr   ser   arg   gln   asp   lys   glu
-1.34 -0.53 -0.50 -0.74 -0.51 -0.48 -0.49 -0.19 -0.19 -0.26 -0.09 -0.18  0.28  0.00  0.09  0.32  0.04  0.38  0.35  0.46
-0.53 -0.82 -0.78 -0.78 -0.67 -0.65 -0.89 -0.19 -0.49 -0.33  0.11 -0.19  0.29  0.00  0.10  0.08 -0.04  0.48  0.11  0.34
-0.50 -0.78 -0.81 -0.70 -0.80 -0.79 -0.68  0.10 -0.44 -0.37  0.14 -0.08  0.36  0.00  0.26  0.09  0.08  0.62  0.16  0.37
-0.74 -0.78 -0.70 -0.74 -0.62 -0.65 -0.94 -0.46 -0.55 -0.40 -0.24 -0.73 -0.09  0.00  0.07 -0.41 -0.11  0.06 -0.28 -0.15
-0.51 -0.67 -0.80 -0.62 -0.72 -0.68 -0.47  0.18 -0.27 -0.38  0.04 -0.08  0.39  0.00  0.25  0.17  0.17  0.66  0.16  0.41
-0.48 -0.65 -0.79 -0.65 -0.68 -0.60 -0.60  0.19 -0.33 -0.35  0.21  0.05  0.55  0.00  0.35  0.18  0.14  0.54  0.21  0.38
-0.49 -0.89 -0.68 -0.94 -0.47 -0.60 -0.56 -0.17 -0.51 -0.23  0.08 -0.16  0.32  0.00  0.32  0.18 -0.01  0.62  0.22  0.24
-0.19 -0.19  0.10 -0.46  0.18  0.19 -0.17 -0.33 -0.21  0.21  0.23 -0.05  0.10  0.00  0.15  0.04  0.22 -0.22  0.26 -0.11
-0.19 -0.49 -0.44 -0.55 -0.27 -0.33 -0.51 -0.21 -0.27 -0.15 -0.04 -0.40  0.01  0.00  0.07 -0.37 -0.18 -0.07 -0.40 -0.16
-0.26 -0.33 -0.37 -0.40 -0.38 -0.35 -0.23  0.21 -0.15 -0.20 -0.03  0.07  0.24  0.00  0.15  0.27  0.21  0.30  0.20  0.43
-0.09  0.11  0.14 -0.24  0.04  0.21  0.08  0.23 -0.04 -0.03 -0.20 -0.01  0.10  0.00  0.10  0.14  0.20  0.17  0.12  0.48
-0.18 -0.19 -0.08 -0.73 -0.08  0.05 -0.16 -0.05 -0.40  0.07 -0.01 -0.07  0.13  0.00  0.17 -0.02 -0.05  0.25  0.12  0.26
 0.28  0.29  0.36 -0.09  0.39  0.55  0.32  0.10  0.01  0.24  0.10  0.13 -0.04  0.00  0.14  0.02 -0.05 -0.12 -0.14 -0.01
 0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 0.09  0.10  0.26  0.07  0.25  0.35  0.32  0.15  0.07  0.15  0.10  0.17  0.14  0.00  0.13  0.12  0.25  0.01  0.10  0.10
 0.32  0.08  0.09 -0.41  0.17  0.18  0.18  0.04 -0.37  0.27  0.14 -0.02  0.02  0.00  0.12  0.13 -0.12 -0.71  0.50 -0.75
 0.04 -0.04  0.08 -0.11  0.17  0.14 -0.01  0.22 -0.18  0.21  0.20 -0.05 -0.05  0.00  0.25 -0.12  0.14  0.12 -0.20  0.10
 0.38  0.48  0.62  0.06  0.66  0.54  0.62 -0.22 -0.07  0.30  0.17  0.25 -0.12  0.00  0.01 -0.71  0.12  0.27 -0.69  0.40
 0.35  0.11  0.16 -0.28  0.16  0.21  0.22  0.26 -0.40  0.20  0.12  0.12 -0.14  0.00  0.10  0.50 -0.20 -0.69  0.38 -0.87
 0.46  0.34  0.37 -0.15  0.41  0.38  0.24 -0.11 -0.16  0.43  0.48  0.26 -0.01  0.00  0.10 -0.75  0.10  0.40 -0.87  0.45
