# MJ matrix (1996 version, original was 1985)
# Contact energies are in -RT units, note that all interactions are attractive in this model
#
# @article{miyazawa1996residue,
#  title={Residue--residue potentials with a favorable contact pair term and an 
#         unfavorable high packing density term, for simulation and threading},
#  author={Miyazawa, Sanzo and Jernigan, Robert L},
#  journal={Journal of molecular biology},
#  volume={256},
#  number={3},
#  pages={623--644},
#  year={1996},
#  publisher={Elsevier}
# }
#
#
#cys met  phe  ile  leu  val  trp  tyr  ala  gly  thr  ser  asn  gln  asp  glu  his  arg  lys  pro
3.07 1.95 2.57 3.60 2.27 2.42 2.85 2.59 2.86 3.11 3.16 3.57 4.16 4.95 4.96 5.83 5.50 5.80 4.99 5.44
1.95 3.45 2.48 3.12 3.98 2.89 2.57 3.30 2.95 3.03 3.51 3.39 3.94 4.91 5.55 5.32 6.41 6.02 6.56 5.46
2.57 2.48 4.25 3.36 3.98 4.77 3.56 3.48 4.10 3.75 4.02 4.28 4.13 4.81 5.66 6.16 6.29 7.28 6.84 7.26
3.60 3.12 3.36 3.76 3.01 3.63 4.14 3.27 3.17 3.67 3.24 3.52 4.03 3.78 4.58 5.25 5.78 6.05 7.04 6.54
2.27 3.98 3.98 3.01 4.20 3.37 4.03 4.54 3.59 3.40 4.04 3.74 3.92 4.34 4.16 4.91 5.67 6.14 6.48 7.37
2.42 2.89 4.77 3.63 3.37 3.32 2.49 3.07 3.58 2.67 2.48 3.07 2.83 3.05 3.46 3.38 4.04 4.62 5.17 5.52
2.85 2.57 3.56 4.14 4.03 2.49 3.73 2.69 3.41 3.98 2.99 2.84 3.11 3.07 2.99 3.22 3.42 3.82 4.66 5.06
2.59 3.30 3.48 3.27 4.54 3.07 2.69 3.19 2.60 3.16 3.52 2.79 2.76 2.97 2.76 2.78 3.01 3.01 3.36 4.17
2.86 2.95 4.10 3.17 3.59 3.58 3.41 2.60 2.03 1.31 1.83 2.41 1.51 1.70 1.89 1.84 2.01 2.32 2.31 2.72
3.11 3.03 3.75 3.67 3.40 2.67 3.98 3.16 1.31 1.87 1.15 1.72 2.15 1.22 1.59 1.66 1.74 1.82 2.08 2.24
3.16 3.51 4.02 3.24 4.04 2.48 2.99 3.52 1.83 1.15 1.90 1.31 1.90 2.42 1.74 1.80 1.90 1.88 1.96 2.12
3.57 3.39 4.28 3.52 3.74 3.07 2.84 2.79 2.41 1.72 1.31 1.57 1.05 1.62 2.11 1.48 1.63 1.49 1.58 1.67
4.16 3.94 4.13 4.03 3.92 2.83 3.11 2.76 1.51 2.15 1.90 1.05 1.53 1.21 1.64 2.08 1.51 1.68 1.71 1.68
4.95 4.91 4.81 3.78 4.34 3.05 3.07 2.97 1.70 1.22 2.42 1.62 1.21 1.73 1.29 1.80 1.98 1.42 1.46 1.54
4.96 5.55 5.66 4.58 4.16 3.46 2.99 2.76 1.89 1.59 1.74 2.11 1.64 1.29 1.33 1.68 2.29 2.32 1.02 1.21
5.83 5.32 6.16 5.25 4.91 3.38 3.22 2.78 1.84 1.66 1.80 1.48 2.08 1.80 1.68 1.26 1.80 2.27 2.15 0.91
5.50 6.41 6.29 5.78 5.67 4.04 3.42 3.01 2.01 1.74 1.90 1.63 1.51 1.98 2.29 1.80 2.25 1.35 2.16 3.05
5.80 6.02 7.28 6.05 6.14 4.62 3.82 3.01 2.32 1.82 1.88 1.49 1.68 1.42 2.32 2.27 1.35 1.70 0.59 1.55
4.99 6.56 6.84 7.04 6.48 5.17 4.66 3.36 2.31 2.08 1.96 1.58 1.71 1.46 1.02 2.15 2.16 0.59 0.97 0.12
5.44 5.46 7.26 6.54 7.37 5.52 5.06 4.17 2.72 2.24 2.12 1.67 1.68 1.54 1.21 0.91 3.05 1.55 0.12 1.75
