# SJKG matrix, fromTable IB. Composition-Corrected Pair Scale
# Contact energies are in RT units (check)?, only one decimal place is given
#
#
# @article{skolnick2000derivation,
#  title={Derivation of protein-specific pair potentials based on 
#         weak sequence fragment similarity},
#  author={Skolnick, Jeffrey and Kolinski, Andrzej and Ortiz, Angel},
#  journal={Proteins: Structure, Function, and Bioinformatics},
#  volume={38},
#  number={1},
#  pages={3--16},
#  year={2000},
#  publisher={Wiley Online Library}
# }
#
#
#gly ala ser cys val thr ile pro met asp asn leu lys glu gln arg his phe tyr trp
 1.10  1.20  0.80  0.10  0.70  0.60  0.40  0.80  0.20  0.70  0.40  0.60  0.60  0.90  0.50  0.20  0.30  0.30  0.20 -0.20
 1.20  0.80  0.80  0.00  0.00  0.50 -0.30  0.70 -0.30  0.90  0.70 -0.10  0.80  1.00  0.40  0.30  0.20 -0.20 -0.30 -0.60
 0.80  0.80  0.20 -0.40  0.40  0.20  0.30  0.40 -0.10  0.20  0.20  0.40  0.50  0.30  0.10  0.20 -0.20  0.00  0.00 -0.50
 0.10  0.00 -0.40 -2.40 -0.70 -0.50 -0.80 -0.40 -1.30 -0.30 -0.50 -0.60 -0.30 -0.20 -0.70 -0.60 -1.40 -1.10 -1.00 -1.50
 0.70  0.00  0.40 -0.70 -0.70 -0.10 -1.00  0.20 -0.80  0.60  0.30 -0.90  0.40  0.40  0.10  0.00 -0.30 -0.90 -0.70 -1.00
 0.60  0.50  0.20 -0.50 -0.10  0.00 -0.20  0.30 -0.30  0.10  0.10  0.00  0.40  0.10  0.00  0.00 -0.20 -0.30 -0.20 -0.60
 0.40 -0.30  0.30 -0.80 -1.00 -0.20 -1.10  0.00 -0.90  0.50  0.20 -1.20  0.30  0.30 -0.10 -0.20 -0.30 -1.10 -0.90 -1.20
 0.80  0.70  0.40 -0.40  0.20  0.30  0.00  0.30 -0.40  0.60  0.30  0.10  0.50  0.40  0.00  0.00 -0.20 -0.30 -0.60 -0.90
 0.20 -0.30 -0.10 -1.30 -0.80 -0.30 -0.90 -0.40 -1.40  0.00 -0.30 -1.00 -0.10  0.00 -0.50 -0.40 -0.90 -1.20 -1.00 -1.60
 0.70  0.90  0.20 -0.30  0.60  0.10  0.50  0.60  0.00  0.20  0.00  0.50 -0.20  0.50  0.00 -0.60 -0.40  0.20 -0.20 -0.40
 0.40  0.70  0.20 -0.50  0.30  0.10  0.20  0.30 -0.30  0.00 -0.20  0.30  0.20  0.20 -0.20 -0.20 -0.40 -0.20 -0.30 -0.60
 0.60 -0.10  0.40 -0.60 -0.90  0.00 -1.20  0.10 -1.00  0.50  0.30 -1.10  0.30  0.40  0.00 -0.20 -0.20 -1.10 -0.90 -1.20
 0.60  0.80  0.50 -0.30  0.40  0.40  0.30  0.50 -0.10 -0.20  0.20  0.30  0.60 -0.40  0.00  0.40  0.10  0.10 -0.30 -0.50
 0.90  1.00  0.30 -0.20  0.40  0.10  0.30  0.40  0.00  0.50  0.20  0.40 -0.40  0.50  0.10 -0.50 -0.30  0.10 -0.20 -0.50
 0.50  0.40  0.10 -0.70  0.10  0.00 -0.10  0.00 -0.50  0.00 -0.20  0.00  0.00  0.10 -0.50 -0.20 -0.50 -0.30 -0.40 -0.90
 0.20  0.30  0.20 -0.60  0.00  0.00 -0.20  0.00 -0.40 -0.60 -0.20 -0.20  0.40 -0.50 -0.20 -0.30 -0.40 -0.40 -0.70 -0.90
 0.30  0.20 -0.20 -1.40 -0.30 -0.20 -0.30 -0.20 -0.90 -0.40 -0.40 -0.20  0.10 -0.30 -0.50 -0.40 -1.20 -0.60 -0.90 -1.20
 0.30 -0.20  0.00 -1.10 -0.90 -0.30 -1.10 -0.30 -1.20  0.20 -0.20 -1.10  0.10  0.10 -0.30 -0.40 -0.60 -1.30 -1.00 -1.40
 0.20 -0.30  0.00 -1.00 -0.70 -0.20 -0.90 -0.60 -1.00 -0.20 -0.30 -0.90 -0.30 -0.20 -0.40 -0.70 -0.90 -1.00 -0.90 -1.30
-0.20 -0.60 -0.50 -1.50 -1.00 -0.60 -1.20 -0.90 -1.60 -0.40 -0.60 -1.20 -0.50 -0.50 -0.90 -0.90 -1.20 -1.40 -1.30 -1.70
